price,coord,class
6.401917196727186,"(18.938788, 72.838105)",0.0
7.723120092266331,"(18.9304714, 72.83353309999998)",0.0
7.252762418053187,"(18.9801254, 72.84028599999998)",0.0
5.6937321388027,"(19.160481, 72.9454193)",0.0
6.410174881966167,"(19.1296654, 72.93163609999998)",0.0
6.192362489474872,"(19.1300559, 72.9387868)",0.0
6.99117688712121,"(18.9954087, 72.84805820000003)",0.0
7.976595409316577,"(19.0111181, 72.83192829999999)",0.0
7.342131730584722,"(19.0670561, 72.85186449999998)",0.0
6.877296071497429,"(19.0372959, 72.87871)",0.0
5.337538079701318,"(19.1631138, 72.93809040000002)",0.0
7.487733761436444,"(18.9996394, 72.82537370000001)",0.0
6.60934924316738,"(19.13679, 72.93067590000003)",0.0
6.949856455000773,"(19.094047, 72.92266)",0.0
6.570882962339584,"(19.160481, 72.9454193)",0.0
5.765191102784844,"(19.1969201, 72.876083)",0.0
6.340359303727752,"(19.2165676, 72.86559820000002)",0.0
6.584791392385716,"(19.0305354, 72.8452449)",0.0
8.105609402299896,"(19.0771337, 72.83458499999998)",0.0
6.90975328164481,"(19.118376, 72.85688490000003)",0.0
6.977281341630747,"(19.0941527, 72.92052009999998)",0.0
6.393590753950631,"(19.1731822, 72.8696033)",0.0
6.994849985833071,"(19.1095788, 72.9018007)",0.0
6.815639990074331,"(19.0168866, 72.85388)",1.0
5.8664680569332965,"(19.1840613, 72.8640314)",1.0
6.453624998892692,"(19.160058, 72.9470533)",0.0
6.20050917404269,"(19.2198888, 72.86189820000001)",0.0
6.7661917146603505,"(19.1985897, 72.85546409999998)",0.0
6.516193076042964,"(19.0742111, 72.86198449999998)",0.0
5.71042701737487,"(19.195301800000006, 72.8398395)",0.0
6.3818160174060985,"(19.2165676, 72.86559820000002)",0.0
6.9726062513017535,"(19.0357714, 72.85745159999998)",0.0
6.278521424165844,"(19.2198888, 72.86189820000001)",0.0
6.091309882077698,"(19.160481, 72.9454193)",0.0
6.202535517187923,"(19.0566712, 72.89973459999999)",0.0
6.7912214627261855,"(19.1419959, 72.8444071)",0.0
6.244166900663736,"(19.2067783, 72.84850689999998)",0.0
6.687108607866515,"(19.1969201, 72.876083)",0.0
6.380122536899765,"(19.130708, 72.9317038)",0.0
5.963579343618446,"(19.0659804, 72.88390439999998)",0.0
6.565264970035361,"(19.0855971, 72.90927940000002)",0.0
6.059123195581797,"(19.116301, 72.9123412)",0.0
7.121252453244542,"(19.1262732, 72.83264199999998)",0.0
6.0063531596017325,"(19.2037944, 72.8210831)",0.0
6.660575149839686,"(19.1181505, 72.8567161)",0.0
6.359573868672378,"(19.195301800000006, 72.8398395)",0.0
7.051855622955894,"(19.0347717, 72.8525198)",1.0
6.234410725718371,"(19.2175443, 72.8534756)",0.0
6.470799503782602,"(19.1743576, 72.96274709999999)",0.0
6.416732282512326,"(19.2175443, 72.8534756)",0.0
6.723832440821209,"(19.1888378, 72.83398620000001)",0.0
7.161622002939187,"(19.1236962, 72.8928672)",0.0
6.267200548541362,"(19.193901, 72.8704671)",0.0
